id_x,budget,popularity,revenue,title,avg_rating,rate_count,year,month,day,director_name,gender,movie_expense,profit,movie_performance,total_profit,director_performance,directors_rank,Release_Season,day_type,avg_profit_per_year,avg_total_profit_per_year
43926,94.0,123,1118.89,The Lord of the Rings: The Return of the King,8.1,8064,2003,Dec,Monday,Peter Jackson,Male,-49.66666666666666,1024.89,Blockbuster,5205.650000000001,Best,2.0,Winter,Weekday,103.48896551724138,834.98
43927,79.0,106,926.29,The Lord of the Rings: The Two Towers,8.0,7487,2002,Dec,Wednesday,Peter Jackson,Male,-64.66666666666666,847.29,Blockbuster,5205.650000000001,Best,2.0,Winter,Weekday,97.53942028985507,969.1530434782609
43929,115.0,41,274.7,Lara Croft: Tomb Raider,5.7,2192,2001,Jun,Monday,Simon West,Male,56.25,159.7,Normal,611.14,Normal,73.0,Summer,Weekday,78.79935483870969,841.1814516129032
43933,90.0,21,162.84,The Spiderwick Chronicles,6.3,572,2008,Feb,Thursday,Mark Waters,Male,46.666666666666664,72.84,Normal,442.74,Normal,101.0,Winter,Weekday,97.81507462686567,777.1591044776119
43937,98.0,7,10.02,Cutthroat Island,5.7,136,1995,Dec,Friday,Renny Harlin,Male,47.913333333333334,-87.98,Normal,280.2,Normal,127.0,Winter,Weekday,72.99666666666667,826.0618181818182
43938,95.0,61,226.5,Percy Jackson & the Olympians: The Lightning Thief,6.0,2010,2010,Feb,Monday,Chris Columbus,Male,33.45454545454545,131.5,Normal,3048.6400000000003,Best,6.0,Winter,Weekday,100.51301587301587,784.8712698412699
43939,90.0,104,589.39,Men in Black,6.9,4412,1997,Jul,Wednesday,Barry Sonnenfeld,Male,-13.607142857142861,499.39,Blockbuster,1467.1799999999998,Normal,25.0,Summer,Weekday,96.21869565217392,1040.8167391304348
43941,100.0,37,167.81,Unstoppable,6.3,1165,2010,Nov,Thursday,Tony Scott,Male,40.208333333333336,67.81,Normal,1150.43,Normal,31.0,Autumn,Weekday,100.51301587301587,784.8712698412699
43942,90.0,35,347.33,Rush Hour 2,6.4,1054,2001,Aug,Friday,Brett Ratner,Male,-3.8888888888888857,257.33,Normal,886.59,Normal,45.0,Summer,Weekday,78.79935483870969,841.1814516129032
43943,100.0,15,155.46,What Lies Beneath,6.3,488,2000,Jul,Friday,Robert Zemeckis,Male,23.84615384615384,55.46000000000001,Normal,2600.62,Best,7.0,Summer,Weekday,79.02983050847457,747.7103389830509
